Site,Cluster,Plot,Depthcode,predSOC,Date,Latitude,Longitude,Altitude
Sichei,1.0,1.0,Topsoil,11.246,10-Mar-21,0.711449,34.6406,1544.81
Sichei,1.0,1.0,Subsoil,8.619,10-Mar-21,0.711449,34.6406,1544.81
Sichei,2.0,1.0,Topsoil,11.516,11-Mar-21,0.731318,34.6339,1552.42
Sichei,2.0,1.0,Subsoil,9.866,11-Mar-21,0.731318,34.6339,1552.42
Sichei,3.0,1.0,Topsoil,14.464,12-Mar-21,0.7687,34.6443,1611.33
Sichei,3.0,1.0,Subsoil,10.845,12-Mar-21,0.7687,34.6443,1611.33
Sichei,4.0,1.0,Topsoil,12.253,13-Mar-21,0.779649,34.6438,1633.68
Sichei,4.0,1.0,Subsoil,10.085,13-Mar-21,0.779649,34.6438,1633.68
Sichei,5.0,1.0,Topsoil,12.114,9-Mar-21,0.716055,34.6646,1520.44
Sichei,5.0,1.0,Subsoil,10.067,9-Mar-21,0.716055,34.6646,1520.44
Sichei,6.0,1.0,Topsoil,11.569,15-Mar-21,0.738002,34.6631,1513.17
Sichei,6.0,1.0,Subsoil,7.089,15-Mar-21,0.738002,34.6631,1513.17
Sichei,7.0,1.0,Topsoil,11.312,16-Mar-21,0.766329,34.6691,1615.02
Sichei,7.0,1.0,Subsoil,9.378,16-Mar-21,0.766329,34.6691,1615.02
Sichei,8.0,1.0,Topsoil,13.787,17-Mar-21,0.790325,34.6709,1635.53
Sichei,8.0,1.0,Subsoil,11.502,17-Mar-21,0.790325,34.6709,1635.53
Sichei,9.0,1.0,Topsoil,19.0,20-Mar-21,0.706483,34.6908,1476.82
Sichei,9.0,1.0,Subsoil,11.822,20-Mar-21,0.706483,34.6908,1476.82
Sichei,10.0,1.0,Topsoil,10.569,22-Mar-21,0.744982,34.6904,1557.9
Sichei,10.0,1.0,Subsoil,9.253,22-Mar-21,0.744982,34.6904,1557.9
Sichei,11.0,1.0,Topsoil,21.761,23-Mar-21,0.760221,34.685,1619.22
Sichei,11.0,1.0,Subsoil,17.53,23-Mar-21,0.760221,34.685,1619.22
Sichei,12.0,1.0,Topsoil,11.059,18-Mar-21,0.790925,34.6828,1650.85
Sichei,12.0,1.0,Subsoil,10.802,18-Mar-21,0.790925,34.6828,1650.85
Sichei,13.0,1.0,Topsoil,11.688,24-Mar-21,0.720269,34.7131,1599.59
Sichei,13.0,1.0,Subsoil,9.575,24-Mar-21,0.720269,34.7131,1599.59
Sichei,14.0,1.0,Topsoil,9.228,25-Mar-21,0.740598,34.7108,1572.17
Sichei,14.0,1.0,Subsoil,8.363,25-Mar-21,0.740598,34.7108,1572.17
Sichei,15.0,1.0,Topsoil,13.596,26-Mar-21,0.757119,34.7034,1628.59
Sichei,15.0,1.0,Subsoil,9.876,26-Mar-21,0.757119,34.7034,1628.59
Sichei,16.0,1.0,Topsoil,15.155,19-Mar-21,0.778559,34.712,1687.43
Sichei,16.0,1.0,Subsoil,14.74,19-Mar-21,0.778559,34.712,1687.43
Sichei,1.0,2.0,Topsoil,21.009,10-Mar-21,0.718934,34.6494,1529.63
Sichei,1.0,2.0,Subsoil,18.373,10-Mar-21,0.718934,34.6494,1529.63
Sichei,2.0,2.0,Topsoil,16.521,11-Mar-21,0.730546,34.6412,1552.52
Sichei,2.0,2.0,Subsoil,11.13,11-Mar-21,0.730546,34.6412,1552.52
Sichei,3.0,2.0,Topsoil,11.386,12-Mar-21,0.759915,34.6438,1577.59
Sichei,3.0,2.0,Subsoil,9.398,12-Mar-21,0.759915,34.6438,1577.59
Sichei,4.0,2.0,Topsoil,12.979,13-Mar-21,0.779855,34.6437,1635.14
Sichei,4.0,2.0,Subsoil,9.19,13-Mar-21,0.779855,34.6437,1635.14
Sichei,5.0,2.0,Topsoil,18.32,9-Mar-21,0.719691,34.6618,1514.26
Sichei,5.0,2.0,Subsoil,15.132,9-Mar-21,0.719691,34.6618,1514.26
Sichei,6.0,2.0,Topsoil,19.025,15-Mar-21,0.739887,34.6699,1542.36
Sichei,6.0,2.0,Subsoil,16.146,15-Mar-21,0.739887,34.6699,1542.36
Sichei,7.0,2.0,Topsoil,10.747,16-Mar-21,0.761025,34.6673,1590.66
Sichei,7.0,2.0,Subsoil,9.815,16-Mar-21,0.761025,34.6673,1590.66
Sichei,8.0,2.0,Topsoil,12.26,17-Mar-21,0.789192,34.6665,1624.52
Sichei,8.0,2.0,Subsoil,10.85,17-Mar-21,0.789192,34.6665,1624.52
Sichei,9.0,2.0,Topsoil,29.83,20-Mar-21,0.709774,34.6862,1477.2
Sichei,9.0,2.0,Subsoil,26.205,20-Mar-21,0.709774,34.6862,1477.2
Sichei,10.0,2.0,Topsoil,11.738,22-Mar-21,0.745768,34.688,1559.58
Sichei,10.0,2.0,Subsoil,9.73,22-Mar-21,0.745768,34.688,1559.58
Sichei,11.0,2.0,Topsoil,13.617,23-Mar-21,0.757684,34.6815,1614.56
Sichei,11.0,2.0,Subsoil,13.175,23-Mar-21,0.757684,34.6815,1614.56
Sichei,12.0,2.0,Topsoil,10.82,18-Mar-21,0.786665,34.6849,1644.22
Sichei,12.0,2.0,Subsoil,9.966,18-Mar-21,0.786665,34.6849,1644.22
Sichei,13.0,2.0,Topsoil,10.366,24-Mar-21,0.715648,34.7124,1609.36
Sichei,13.0,2.0,Subsoil,9.613,24-Mar-21,0.715648,34.7124,1609.36
Sichei,14.0,2.0,Topsoil,13.783,25-Mar-21,0.7411,34.706,1547.76
Sichei,14.0,2.0,Subsoil,10.207,25-Mar-21,0.7411,34.706,1547.76
Sichei,15.0,2.0,Topsoil,13.164,26-Mar-21,0.765083,34.7033,1633.72
Sichei,15.0,2.0,Subsoil,12.246,26-Mar-21,0.765083,34.7033,1633.72
Sichei,16.0,2.0,Topsoil,12.015,19-Mar-21,0.778879,34.7066,1654.03
Sichei,16.0,2.0,Subsoil,11.048,19-Mar-21,0.778879,34.7066,1654.03
Sichei,1.0,3.0,Topsoil,10.378,10-Mar-21,0.712898,34.6466,1525.13
Sichei,1.0,3.0,Subsoil,7.629,10-Mar-21,0.712898,34.6466,1525.13
Sichei,2.0,3.0,Topsoil,10.481,11-Mar-21,0.735799,34.636,1554.73
