,DHSID,DHSCC_hhm,DHSYEAR_hhm,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net,Pop2015,Prec_15,Arid_15,DLST_15,DTemp15,EVI_15,FD_15,ITN_15,LST_15,MI_15,MP_15,MaxTem15,Meante15,Mintem15,NLST15,PET_15,Rain15,Travel_Times_2015,U5pop15,UNpopc15,UNpop15,WD_15,GPS_Dataset,DHSCC_cov,DHSYEAR_cov,SurveyID,D_e,Global_HF,Gross_CP,GSL,Irr,Nightligh,Prox_PA,Prox_wa,Slope
121,KE201500000122,KE,2015.0,122.0,R,0.097049,34.325073,9999.0,1242.0,WGS84,POINT (34.325073 0.097049),122,11,4,0,11,11,11,122,30,29,62,3,102,122,102,0,84,nyanza,84,18,192642.0313,136.6750031,33.67761993,30.67555406,13.26666737,3871.777778,0.0,0.600346785,24.31700304,0.291313648,0.262389694,29.95833397,23.30000114,16.69166756,17.95845201,4.058333397,1920.9,25.79301075,95.71326643,155982.7969,487.2530662,16.04500008,KEGE7AFL,KE,2015,KE2015MIS,-9999,38.74393531,985.5549665,12,0.252339929,0.057811107,38859.61857,27448.80049,0.656445124
122,KE201500000123,KE,2015.0,123.0,R,0.09418,34.160814,9999.0,1219.0,WGS84,POINT (34.160814 0.09418),123,8,4,0,8,8,8,123,28,28,66,3,96,123,96,0,87,nyanza,87,9,112441.0859,136.6750031,33.67761993,30.44933167,13.26666737,3743.1,0.0,0.597016037,23.84791565,0.258271933,0.220282197,29.95833397,23.30000114,16.69166756,17.24649963,4.058333397,1830.0,43.6010929,57.17632378,93499.40625,307.6642342,16.04500008,KEGE7AFL,KE,2015,KE2015MIS,-9999,36.03287671,985.5549665,12,0.658676386,0.005127756,50755.12169,17279.51926,0.312031855
123,KE201500000124,KE,2015.0,124.0,R,0.027341,34.07409,9999.0,1172.0,WGS84,POINT (34.07409 0.027341),124,16,14,0,16,16,15,124,25,24,59,4,104,124,104,0,97,nyanza,97,7,73771.32813,136.6750031,33.67761993,28.3333313,13.26666737,3557.4,0.0,0.592217377,22.92333374,0.237985952,0.190371462,29.95833397,23.30000114,16.69166756,17.51333313,4.058333397,1526.555556,63.8027027,38.63366599,69633.07813,238.4261558,16.04500008,KEGE7AFL,KE,2015,KE2015MIS,-9999,31.71181556,1044.421945,12,0.577881336,0.004084777,54334.36073,8932.112308,0.427484956
124,KE201500000125,KE,2015.0,125.0,R,-0.167817,34.380882,9999.0,1186.0,WGS84,POINT (34.380882 -0.167817),125,13,11,0,13,13,13,125,26,26,65,3,103,125,103,0,89,nyanza,89,14,105546.0469,125.3666687,30.57723618,32.24380929,12.6916666,3216.142857,0.0,0.629793371,25.28147888,0.239728901,0.195317189,29.78333282,23.41666794,17.09166718,18.31914847,4.099999905,1451.666667,36.49609375,75.19844358,87800.21875,405.735815,16.19416618,KEGE7AFL,KE,2015,KE2015MIS,-9999,32.96062992,1122.911328,12,1.088001966,0.020560214,14126.8453,1121.829596,0.936589479
125,KE201500000126,KE,2015.0,126.0,U,0.057328,34.294138,9999.0,1322.0,WGS84,POINT (34.294138 0.057328),126,12,2,12,0,12,9,126,28,26,74,4,112,126,112,112,88,nyanza,88,20,21798.62109,136.6750031,33.67761993,31.09499931,13.26666737,3639.0,0.0,0.586365961,24.48250008,0.288961083,0.259891063,29.95833397,23.30000114,16.69166756,17.87000084,4.058333397,1887.0,20.92857143,293.8250558,10274.21289,852.7875279,16.04500008,KEGE7AFL,KE,2015,KE2015MIS,-9999,43.35714286,985.5549316,12,0.0,0.521042978,37360.66889,22039.37389,0.340716226
126,KE201500000127,KE,2015.0,127.0,U,-0.129567,34.253357,9999.0,1234.0,WGS84,POINT (34.253357 -0.129567),127,12,7,12,0,11,11,127,28,27,57,3,92,127,92,92,81,nyanza,81,11,3410.052734,125.3666687,30.57723618,33.07333374,12.6916666,3123.0,0.0,0.624430417,25.80166626,0.227099866,0.1796588,29.78333282,23.41666794,17.09166718,18.53000069,4.099999905,1469.0,36.13333333,36.47528546,4964.554688,384.6006836,16.19416618,KEGE7AFL,KE,2015,KE2015MIS,-9999,33.6,1122.911255,12,0.0,0.0,28914.63435,10073.0179,0.098079228
127,KE201500000128,KE,2015.0,128.0,R,-0.196044,34.827977,9999.0,1142.0,WGS84,POINT (34.827977 -0.196044),128,10,6,0,10,10,7,128,30,26,56,3,118,128,118,0,80,nyanza,80,37,119735.0547,-9999.0,-9999.0,31.96904864,-9999.0,2753.142857,-9999.0,0.589414048,24.84464373,0.351058245,0.346583438,-9999.0,-9999.0,-9999.0,17.72023773,-9999.0,1585.625,17.35315985,77.27485662,126376.4297,549.2523234,-9999.0,KEGE7AFL,KE,2015,KE2015MIS,-9999,34.79607843,1122.911222,13,1.223327041,0.10708015,12068.70328,3545.213994,0.097617472
128,KE201500000129,KE,2015.0,129.0,R,-0.138848,34.995867,9999.0,1185.0,WGS84,POINT (34.995867 -0.138848),129,14,8,0,14,14,11,129,29,29,70,4,129,129,129,0,111,nyanza,111,18,129526.6797,-9999.0,-9999.0,34.35444641,-9999.0,3361.5,-9999.0,0.554156223,26.40705872,0.34380562,0.330743517,-9999.0,-9999.0,-9999.0,18.45967102,-9999.0,1504.0,23.61538462,65.49778005,109321.1719,348.9990986,-9999.0,KEGE7AFL,KE,2015,KE2015MIS,4,34.51923077,1437.874023,13,2.016721249,0.055921284,27777.23661,22648.71775,0.69263475
129,KE201500000130,KE,2015.0,130.0,R,-0.350775,34.872324,9999.0,1446.0,WGS84,POINT (34.872324 -0.350775),130,18,9,0,18,17,12,130,27,26,70,6,165,130,168,0,128,nyanza,128,40,121271.2813,-9999.0,-9999.0,31.84388902,-9999.0,3308.444444,-9999.0,0.614096817,24.44722324,0.393318717,0.394655259,-9999.0,-9999.0,-9999.0,17.05055576,-9999.0,1678.777778,38.85970149,68.76930319,105118.4531,377.6381777,-9999.0,KEGE7AFL,KE,2015,KE2015MIS,-9999,35.31076923,1122.911283,13,0.236674279,0.02990998,28687.48763,5820.389608,2.009368805
130,KE201500000131,KE,2015.0,131.0,U,-0.083807,34.78486,9999.0,1165.0,WGS84,POINT (34.78486 -0.083807),131,9,4,9,0,9,9,131,27,25,55,3,98,131,100,100,90,nyanza,90,10,178201.1875,-9999.0,-9999.0,32.80166626,-9999.0,3697.0,-9999.0,0.428789326,24.96249962,0.300857812,0.280589104,-9999.0,-9999.0,-9999.0,17.12333298,-9999.0,1560.0,0.0,2257.208705,118122.5469,9150.8625,-9999.0,KEGE7AFL,KE,2015,KE2015MIS,-9999,84.06666667,1122.911255,13,1.911939025,4.361904856,5147.09076,5343.433884,0.869667308
