,DHSID,DHSCC_hhm,DHSYEAR_hhm,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net,pop2020,arid_20,DLST_20,DTemp20,EVI20,FD_20,ITN_20,LST_20,MI_20,MP_20,Matemp20,Meantem20,Mintem20,NLST20,PET_20,Prec20,Rain20,U5pop20,UNpopc20,UNpop20,WD_20,GPS_Dataset,DHSCC_cov,DHSYEAR_cov,SurveyID,D.e,Elev,Global_Human_Footprint,Growing_Season_Length,Irrigation,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Nightligh
0,KE202000000002,KE,2020.0,2.0,R,-4.200655,39.356982,9999.0,201.0,WGS84,POINT (39.35698247 -4.200655414),2,24,4,0,24,23,13,2,29,16,31,5,147,2,147,0,coast,56,91,4172.21582,22.55533218,31.6586132,7.919010639,0.388838768,0.0,0.724999249,26.80408096,0.108709514,0.06797155,30.72274399,26.73919296,22.80373383,21.94954681,4.148307323,93.56645203,1449.051758,629.9255371,4535.42041,211.3774109,12.43290806,KEGE81FL,KE,2020,KE2020DHS,2.0,182.3583984,21.00564766,7,0.131376594,61.19600296,97.04376221,40.07857132,0.051220115,12.28306007,0.0
1,KE202000000005,KE,2020.0,5.0,R,-4.027349,39.539536,9999.0,3.0,WGS84,POINT (39.53953619 -4.027349059),5,16,7,0,16,16,13,5,26,19,39,4,112,5,112,0,coast,59,51,3127.658447,21.92982864,31.38663864,7.799566269,0.376034319,0.0,0.706508934,27.18889999,0.076677799,0.044017676,30.70607758,26.77900887,22.90651131,22.99116325,4.209418297,92.31182098,1628.334473,567.5869141,4248.967773,197.9857025,11.91550064,KEGE81FL,KE,2020,KE2020DHS,2.0,84.31833649,29.57523727,7,0.014594338,13.79785252,96.93904114,60.92100525,0.072594337,6.867123127,0.141979873
2,KE202000000012,KE,2020.0,12.0,R,-4.510408,39.165574,9999.0,113.0,WGS84,POINT (39.16557414 -4.510407521),12,15,6,0,15,14,9,12,29,19,44,5,145,12,148,0,coast,71,72,4617.019531,24.35388756,33.17437363,8.114380836,0.370410264,0.0,0.808542311,27.68637848,0.082477577,0.049670927,30.8626442,26.78077316,22.74826431,22.19838524,4.066174984,99.02716827,1671.711548,718.9812012,3540.626221,165.0872345,13.08808422,KEGE81FL,KE,2020,KE2020DHS,2.0,60.73827744,29.56619644,8,0.043811698,25.31699562,73.75033569,13.9180994,0.044270929,6.713689804,0.004835546
3,KE202000000015,KE,2020.0,15.0,R,-4.492379,39.43167,9999.0,17.0,WGS84,POINT (39.43167037 -4.492378791),15,18,5,0,18,18,5,15,28,12,28,6,172,15,173,0,coast,49,124,3427.524414,24.20876694,29.98683739,7.912630558,0.417017758,0.0,0.765342772,26.54234314,0.076196201,0.043871019,31.00720596,27.02417564,23.09457588,23.09784698,4.158637047,100.6754761,2282.168945,533.7481079,4895.23291,228.2348175,12.39857578,KEGE81FL,KE,2020,KE2020DHS,2.0,28.9081955,40.48176193,7,0.131420031,29.14232826,221.178894,17.41929054,0.069896854,6.445805073,0.034801982
4,KE202000000028,KE,2020.0,28.0,R,-3.183536,40.049758,9999.0,45.0,WGS84,POINT (40.04975838 -3.183536189),28,18,1,0,18,18,10,28,30,20,48,6,189,28,190,0,coast,72,101,9109.084961,16.28812599,30.91239929,7.542448044,0.403788209,0.0,0.650230706,26.95031357,0.108068228,0.073813565,30.94973946,27.15976524,23.40729141,22.98822594,4.510547161,73.4683609,1380.236084,1423.073364,17192.21094,800.3579102,10.4688015,KEGE81FL,KE,2020,KE2020DHS,2.0,23.67578316,44.29349136,7,0.116637804,27.09731102,160.1673431,47.58905411,0.109326065,3.578164816,0.08360862
5,KE202000000053,KE,2020.0,53.0,R,-1.928124,40.189471,9999.0,33.0,WGS84,POINT (40.18947113 -1.928123583),53,20,4,0,20,20,10,53,27,21,62,5,143,53,144,0,coast,75,53,917.6585083,8.55044651,33.52301788,8.892838478,0.330745906,0.0,0.620911717,28.62062454,0.092976443,0.056340296,32.97929764,28.50976563,24.08645821,23.71822929,5.082291603,43.45586014,877.9331055,121.0871658,848.6710205,39.47005844,9.052630424,KEGE81FL,KE,2020,KE2020DHS,7.0,36.08984375,24.98528862,4,0.191779122,8.849610329,5.474504948,15.65094376,0.000117582,9.75385952,0.0
6,KE202000000063,KE,2020.0,63.0,R,-2.456477,40.701203,9999.0,14.0,WGS84,POINT (40.70120328 -2.456476744),63,2,0,0,2,2,1,63,28,22,46,3,93,63,93,0,coast,47,39,1671.617188,12.32101154,30.88947868,6.920573235,0.437515259,0.0,0.623250902,27.41317368,0.076734841,0.050725143,31.45533943,27.96653748,24.53476524,23.93687057,4.720182419,58.15742111,135.4936676,231.7930908,1413.217896,78.40213776,9.495780945,KEGE81FL,KE,2020,KE2020DHS,7.0,8.384766579,26.87067604,6,0.0,2.919857025,20.68170166,17.95401955,0.000183059,3.446817875,0.0
7,KE202000000072,KE,2020.0,72.0,R,-3.431354,38.278572,9999.0,1167.0,WGS84,POINT (38.27857164 -3.431354027),72,9,5,0,9,9,6,72,28,11,27,3,95,72,95,0,coast,24,71,1684.981567,18.12977219,26.8732605,11.00108528,0.384625793,0.0,0.551963568,21.52564049,0.058136139,0.036211058,29.26475716,23.73398399,18.26367188,16.17802048,4.118099213,74.66020203,934.7878418,190.3311462,1742.986572,81.16265106,9.620854378,KEGE81FL,KE,2020,KE2020DHS,2.0,1267.196411,22.1918869,6,0.218761429,20.90366173,89.76172638,1.631399751,0.139870748,0.605850875,0.0
8,KE202000000078,KE,2020.0,78.0,R,-3.449425,37.622278,9999.0,722.0,WGS84,POINT (37.62227788 -3.44942531),78,4,0,0,4,4,1,78,28,22,39,2,76,78,77,0,coast,37,38,1695.911499,28.96569443,31.92607689,11.47508717,0.345339358,0.0,0.732769489,25.85621643,0.054592103,0.032521565,27.7940979,22.03602409,16.31901169,19.78635406,3.720833302,107.7765198,864.4816284,202.2171326,5478.220703,255.0948486,9.943914413,KEGE81FL,KE,2020,KE2020DHS,2.0,743.2207031,43.05068588,9,5.416001797,52.83298492,28.13078499,40.73626709,0.638850152,30.17030334,0.005341016
9,KE202000000174,KE,2020.0,174.0,R,-0.335873,37.80011,9999.0,852.0,WGS84,POINT (37.80010998 -0.335873442),174,14,0,0,14,14,7,174,28,13,19,3,102,174,103,0,eastern,36,67,3821.551514,20.51585007,33.17864609,11.96349812,0.333425701,0.0,0.511341512,26.80177307,0.058305122,0.034451209,28.93007851,22.91692734,16.96657944,20.42489815,4.255729198,87.30989838,1391.982422,447.4760132,3645.291992,169.441864,11.71201801,KEGE81FL,KE,2020,KE2020DHS,9.0,792.5351563,38.48678207,8,0.768288016,8.582421303,89.75363159,30.99039268,0.000162765,4.519261837,0.0
