,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
0,KE201500000001,KE,2015.0,1.0,U,-1.262753,36.757369,9999.0,1783.0,WGS84,POINT (36.757369 -1.262753),1,6,2,6,0,6,5,1,29,15,18,2,70,1,71,71,25,nairobi,25,46
1,KE201500000002,KE,2015.0,2.0,U,-1.338937,36.759522,9999.0,1792.0,WGS84,POINT (36.759522 -1.338937),2,4,0,4,0,4,3,2,19,14,35,2,45,2,46,46,27,nairobi,27,17
2,KE201500000003,KE,2015.0,3.0,U,-1.270583,36.963737,9999.0,1570.0,WGS84,POINT (36.963737 -1.270583),3,9,4,9,0,8,8,3,25,22,55,3,80,3,80,80,62,nairobi,62,15
3,KE201500000004,KE,2015.0,4.0,U,-1.322515,36.903702,9999.0,1631.0,WGS84,POINT (36.903702 -1.322515),4,3,0,3,0,3,0,4,26,19,24,1,35,4,36,36,12,nairobi,12,20
4,KE201500000005,KE,2015.0,5.0,U,-1.318353,36.835251,9999.0,1649.0,WGS84,POINT (36.835251 -1.318353),5,7,2,7,0,6,4,5,28,13,16,2,71,5,71,71,20,nairobi,20,51
5,KE201500000006,KE,2015.0,6.0,U,-1.20692,36.881645,9999.0,1569.0,WGS84,POINT (36.881645 -1.20692),6,15,5,15,0,14,11,6,27,24,46,2,77,6,80,80,60,nairobi,60,18
6,KE201500000007,KE,2015.0,7.0,U,-1.276019,36.858857,9999.0,1626.0,WGS84,POINT (36.858857 -1.276019),7,10,3,10,0,10,9,7,28,25,65,3,86,7,87,87,64,nairobi,64,23
7,KE201500000008,KE,2015.0,8.0,R,-0.002178,36.364098,9999.0,2391.0,WGS84,POINT (36.364098 -0.002178),8,4,1,0,4,4,1,8,26,3,6,1,47,8,48,0,7,central,7,41
8,KE201500000009,KE,2015.0,9.0,R,-0.427087,36.447645,9999.0,2301.0,WGS84,POINT (36.447645 -0.427087),9,11,0,0,11,11,6,9,28,11,25,3,94,9,95,0,30,central,30,65
9,KE201500000010,KE,2015.0,10.0,R,-0.706864,36.58955,9999.0,2529.0,WGS84,POINT (36.58955 -0.706864),10,13,2,0,13,10,1,10,27,1,1,3,98,10,98,0,1,central,1,97
10,KE201500000011,KE,2015.0,11.0,U,-0.186504,36.506193,9999.0,2725.0,WGS84,POINT (36.506193 -0.186504),11,13,5,13,0,12,2,11,26,4,5,4,116,11,117,117,8,central,8,109
11,KE201500000012,KE,2015.0,12.0,U,-0.194835,36.427213,9999.0,2350.0,WGS84,POINT (36.427213 -0.194835),12,19,7,19,0,18,2,12,28,8,14,4,124,12,125,125,20,central,20,105
12,KE201500000013,KE,2015.0,13.0,R,-0.175527,36.857057,9999.0,1889.0,WGS84,POINT (36.857057 -0.175527),13,4,1,0,4,4,1,13,24,3,6,2,48,13,49,0,2,central,2,44
13,KE201500000014,KE,2015.0,14.0,R,-0.385871,37.109734,9999.0,1963.0,WGS84,POINT (37.109734 -0.385871),14,5,3,0,5,5,0,14,29,2,3,3,101,14,101,0,0,central,0,101
14,KE201500000015,KE,2015.0,15.0,R,-0.566701,37.046412,9999.0,1720.0,WGS84,POINT (37.046412 -0.566701),15,10,0,0,10,10,2,15,29,19,35,2,84,15,85,0,11,central,11,62
15,KE201500000016,KE,2015.0,16.0,U,-0.476565,37.141745,9999.0,1754.0,WGS84,POINT (37.141745 -0.476565),16,11,1,11,0,11,1,16,30,10,19,2,87,16,87,87,8,central,8,76
16,KE201500000017,KE,2015.0,17.0,U,-0.424037,36.936094,9999.0,1797.0,WGS84,POINT (36.936094 -0.424037),17,5,0,5,0,5,0,17,26,14,20,1,47,17,48,48,12,central,12,26
17,KE201500000018,KE,2015.0,18.0,R,-0.748159,37.340994,9999.0,1131.0,WGS84,POINT (37.340994 -0.748159),18,7,1,0,7,7,2,18,30,22,42,2,81,18,85,0,56,central,56,29
18,KE201500000019,KE,2015.0,19.0,R,-0.522359,37.273405,9999.0,1473.0,WGS84,POINT (37.273405 -0.522359),19,7,0,0,7,7,7,19,30,17,31,2,77,19,77,0,33,central,33,40
19,KE201500000020,KE,2015.0,20.0,R,-0.531198,37.385329,9999.0,1444.0,WGS84,POINT (37.385329 -0.531198),20,3,0,0,3,3,2,20,30,19,38,2,86,20,86,0,39,central,39,40
20,KE201500000021,KE,2015.0,21.0,U,-0.672902,37.354064,9999.0,1139.0,WGS84,POINT (37.354064 -0.672902),21,17,5,17,0,16,13,21,30,25,51,3,90,21,92,92,58,central,58,27
21,KE201500000022,KE,2015.0,22.0,U,-0.523186,37.261742,9999.0,1559.0,WGS84,POINT (37.261742 -0.523186),22,7,1,7,0,7,5,22,30,19,28,2,61,22,61,61,31,central,31,25
22,KE201500000023,KE,2015.0,23.0,R,-0.712532,36.915596,9999.0,1931.0,WGS84,POINT (36.915596 -0.712532),23,9,2,0,9,9,2,23,29,9,15,3,91,23,94,0,8,central,8,86
23,KE201500000024,KE,2015.0,24.0,R,-0.606501,36.964762,9999.0,1803.0,WGS84,POINT (36.964762 -0.606501),24,10,5,0,10,8,0,24,29,9,19,3,88,24,91,0,10,central,10,81
24,KE201500000025,KE,2015.0,25.0,R,-0.966115,37.150631,9999.0,1496.0,WGS84,POINT (37.150631 -0.966115),25,9,1,0,9,8,6,25,26,19,27,3,79,25,84,0,40,central,40,44
25,KE201500000026,KE,2015.0,26.0,R,-1.029366,37.15135,9999.0,1474.0,WGS84,POINT (37.15135 -1.029366),26,10,3,0,10,10,6,26,27,18,28,2,60,26,60,0,37,central,37,23
26,KE201500000027,KE,2015.0,27.0,U,-0.716623,37.157401,9999.0,1287.0,WGS84,POINT (37.157401 -0.716623),27,8,5,8,0,7,4,27,25,12,18,2,65,27,66,66,24,central,24,42
27,KE201500000028,KE,2015.0,28.0,U,-0.899258,37.209033,9999.0,1427.0,WGS84,POINT (37.209033 -0.899258),28,6,0,6,0,5,2,28,23,11,14,1,35,28,39,39,16,central,16,23
28,KE201500000029,KE,2015.0,29.0,R,-1.061886,36.651355,9999.0,2353.0,WGS84,POINT (36.651355 -1.061886),29,14,8,0,14,14,3,29,27,10,16,3,101,29,104,0,19,central,19,85
29,KE201500000030,KE,2015.0,30.0,R,-1.077364,36.989752,9999.0,1567.0,WGS84,POINT (36.989752 -1.077364),30,5,3,0,5,5,3,30,29,11,18,2,77,30,78,0,20,central,20,58
30,KE201500000031,KE,2015.0,31.0,R,-0.897722,36.794013,9999.0,2099.0,WGS84,POINT (36.794013 -0.897722),31,10,5,0,10,10,3,31,28,5,8,3,88,31,89,0,11,central,11,78
