,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
0,KE202000000002,KE,2020.0,2.0,R,-4.200655,39.356982,9999.0,201.0,WGS84,POINT (39.35698247 -4.200655414),2,24,4,0,24,23,13,2,29,16,31,5,147,2,147,0,coast,56,91
1,KE202000000005,KE,2020.0,5.0,R,-4.027349,39.539536,9999.0,3.0,WGS84,POINT (39.53953619 -4.027349059),5,16,7,0,16,16,13,5,26,19,39,4,112,5,112,0,coast,59,51
2,KE202000000012,KE,2020.0,12.0,R,-4.510408,39.165574,9999.0,113.0,WGS84,POINT (39.16557414 -4.510407521),12,15,6,0,15,14,9,12,29,19,44,5,145,12,148,0,coast,71,72
3,KE202000000015,KE,2020.0,15.0,R,-4.492379,39.43167,9999.0,17.0,WGS84,POINT (39.43167037 -4.492378791),15,18,5,0,18,18,5,15,28,12,28,6,172,15,173,0,coast,49,124
4,KE202000000028,KE,2020.0,28.0,R,-3.183536,40.049758,9999.0,45.0,WGS84,POINT (40.04975838 -3.183536189),28,18,1,0,18,18,10,28,30,20,48,6,189,28,190,0,coast,72,101
5,KE202000000053,KE,2020.0,53.0,R,-1.928124,40.189471,9999.0,33.0,WGS84,POINT (40.18947113 -1.928123583),53,20,4,0,20,20,10,53,27,21,62,5,143,53,144,0,coast,75,53
6,KE202000000063,KE,2020.0,63.0,R,-2.456477,40.701203,9999.0,14.0,WGS84,POINT (40.70120328 -2.456476744),63,2,0,0,2,2,1,63,28,22,46,3,93,63,93,0,coast,47,39
7,KE202000000072,KE,2020.0,72.0,R,-3.431354,38.278572,9999.0,1167.0,WGS84,POINT (38.27857164 -3.431354027),72,9,5,0,9,9,6,72,28,11,27,3,95,72,95,0,coast,24,71
8,KE202000000078,KE,2020.0,78.0,R,-3.449425,37.622278,9999.0,722.0,WGS84,POINT (37.62227788 -3.44942531),78,4,0,0,4,4,1,78,28,22,39,2,76,78,77,0,coast,37,38
9,KE202000000174,KE,2020.0,174.0,R,-0.335873,37.80011,9999.0,852.0,WGS84,POINT (37.80010998 -0.335873442),174,14,0,0,14,14,7,174,28,13,19,3,102,174,103,0,eastern,36,67
10,KE202000000193,KE,2020.0,193.0,R,-0.773114,37.281388,9999.0,1131.0,WGS84,POINT (37.28138846 -0.773113776),193,13,0,0,13,13,6,193,30,21,46,3,118,193,120,0,eastern,40,51
11,KE202000000196,KE,2020.0,196.0,R,-1.626811,37.944246,9999.0,964.0,WGS84,POINT (37.94424571 -1.626811451),196,6,0,0,6,6,0,196,24,10,17,3,78,196,80,0,eastern,10,63
12,KE202000000206,KE,2020.0,206.0,R,-2.00424,38.199285,9999.0,749.0,WGS84,POINT (38.19928481 -2.004240414),206,11,1,0,11,11,2,206,30,11,17,4,134,206,135,0,eastern,24,107
13,KE202000000223,KE,2020.0,223.0,R,-1.247961,37.424154,9999.0,1208.0,WGS84,POINT (37.42415437 -1.24796111),223,9,1,0,9,9,7,223,26,13,20,3,100,223,102,0,eastern,33,66
14,KE202000000265,KE,2020.0,265.0,R,-0.292556,36.529856,9999.0,2599.0,WGS84,POINT (36.52985649 -0.292556162),265,10,1,0,10,10,0,265,28,1,2,3,89,265,89,0,central,0,89
15,KE202000000273,KE,2020.0,273.0,R,-0.761818,36.663968,9999.0,2564.0,WGS84,POINT (36.66396826 -0.761817797),273,10,0,0,10,10,0,273,29,1,1,3,115,273,116,0,central,0,116
16,KE202000000283,KE,2020.0,283.0,R,-0.527789,37.101379,9999.0,1740.0,WGS84,POINT (37.10137889 -0.527788504),283,11,2,0,11,10,2,283,30,9,12,3,93,283,100,0,central,8,91
